"TCGA-A3-3320-01A-02R-1325-07"	"TCGA-A3-3323-01A-02R-1325-07"	"TCGA-A3-3326-01A-01R-0864-07"	"TCGA-A3-A6NJ-01A-12R-A33J-07"	"TCGA-A3-A8OU-01A-11R-A37O-07"	"TCGA-AS-3778-01A-01R-A32Z-07"	"TCGA-B0-5690-01A-11R-1541-07"	"TCGA-B4-5834-01A-11R-1672-07"	"TCGA-B4-5844-01A-11R-1672-07"	"TCGA-B8-A54K-01A-11R-A33J-07"	"TCGA-BP-4165-01A-02R-1289-07"	"TCGA-CW-6093-01A-11R-1672-07"	"TCGA-EU-5904-01A-11R-1672-07"	"TCGA-T7-A92I-01A-11R-A37O-07"
"OSBPL9|114883"	2679.6426	2365.7831	2117.1089	1782.3129	2105.6481	2120.4521	2102.7811	2552.5847	2391.6648	2604.8595	2789.5937	2107.717	2145.8857	2023.3323
"OSBP|5007"	3062.5498	1862.6506	2245.1967	1896.7587	1488.8257	1875.6623	1734.3813	1974.4246	2435.0262	1791.9606	1763.0873	2246.9453	2081.2073	4355.9677
"OSCAR|126014"	42.4666	125.7831	139.9817	106.4426	142.6249	115.8601	106.4087	40.9207	44.4926	23.7375	56.583	50.8039	65.7564	66.1083
"OSCP1|127700"	303.6362	186.988	233.3028	267.3069	268.1837	192.8647	120.5159	213.2837	105.5756	297.3911	244.8593	138.2637	283.8663	186.3596
"OSGEPL1|64172"	215.8719	253.9759	204.9405	128.8515	157.2531	192.8647	156.3886	191.5834	135.7401	235.5839	236.8476	163.6656	135.4653	250.0748
"OSGEP|55644"	296.5584	311.8072	386.0933	380.1521	380.7395	317.9089	336.9609	273.1148	308.0546	294.7038	512.2517	283.9228	267.3374	538.1394
"OSGIN1|29948"	133.062	250.6024	115.279	195.2781	157.6595	265.2773	210.399	99.2017	239.4304	177.3598	378.0548	250.4823	130.7941	271.6123
"OSGIN2|734"	1135.9816	518.5542	608.4172	741.4966	590.8167	898.2692	376.4611	1209.9512	648.5359	882.7679	349.0122	1081.0289	980.5965	589.5902
"OSMR|9180"	1634.9642	6359.0361	1688.0146	1914.3657	3086.9565	3303.4264	1649.738	1590.6378	2172.5954	5057.4404	574.8436	3167.2026	1933.525	800.7777
"OSM|5008"	110.0593	9.6386	12.8088	75.2301	35.3515	31.4377	47.5615	6.2001	5.2788	2.2394	24.0353	18.328	206.9709	77.1762
"OSR1|130497"	15.2172	39.5181	23.7877	22.409	7.3141	25.4327	14.1072	11.4702	26.3939	12.9885	59.5874	27.6527	11.1391	34.6994
"OSR2|116039"	30.0805	3.3735	1.8298	22.0088	9.7521	3.1791	12.0919	5.2701	5.2788	0.4479	13.5198	2.5723	47.4308	2.9913
"OST4|100128731"	949.4683	1333.9614	1454.7027	1703.4454	1917.4848	1641.4341	1463.4825	1278.1431	1072.7199	1562.5753	2788.0314	1164.6174	1350.3234	1511.2055
"OSTBETA|123264"	0	4.8193	7.3193	14.0056	13.4092	32.4974	8.8674	0.62	12.0658	0	8.5125	5.4662	1.7966	192.0431
"OSTCL|202459"	4.6005	4.3373	2.7447	4.4018	2.438	3.1791	3.2245	3.7201	4.1476	6.2703	4.0059	4.5016	2.5153	3.2905
"OSTC|58505"	1297.0008	1132.5301	1236.0476	1420.1681	1627.7936	1470.5051	1234.9859	1410.5247	1415.8444	1204.7923	1650.9227	1196.1415	1361.4804	934.49
"OSTF1|26578"	671.6801	689.6386	827.0814	872.3489	778.9516	656.3052	1091.0923	899.3257	965.2628	498.4884	1254.8415	821.865	918.074	700.2692
"OSTM1|28962"	704.5917	902.1687	774.0165	1028.0112	887.8505	839.6326	1341.7977	1361.2338	1595.323	511.029	695.0199	1226.045	1297.88	5911.4568
"OSTN|344901"	0	0	0	0	0	0	0	0	0	4.0309	0	0	0	0
"OSTalpha|200931"	52.0216	134.4578	9.1491	220.4882	105.6481	47.6863	12.0919	14.2602	129.7072	9.4054	85.1249	10.2894	20.1222	49.9551
"OTC|5009"	0	0	0	0	0	0	0	1.55	0	0	0	0	3.2339	0
"OTOA|146183"	9.2011	26.506	28.3623	51.6206	22.755	10.2437	21.7654	11.4702	4.5247	8.9576	14.5213	21.865	10.7797	47.8612
"OTOF|9381"	0.3539	0.9639	10.064	2.0008	2.438	2.4726	3.6276	1.24	3.0164	0	2.0029	2.5723	3.9526	0.2991
"OTOL1|131149"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTOP1|133060"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTOP2|92736"	0	0.4819	0	0.4002	0.4063	0	0	0.31	0	0	0	0	0	0
"OTOP3|347741"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTOR|56914"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTOS|150677"	0	0	1.8298	0	0.4063	0	0	0	0	0	0	0	0	0
"OTP|23440"	0	0	2.7447	0.8003	0	0	0.4031	0	0	0	0	0.3215	0.3593	0.2991
"OTUB1|55611"	1261.2581	1143.1325	1430.9241	1639.8559	1794.7989	1780.6429	1316.0016	1287.7625	1088.9371	1523.2337	1860.7306	978.7781	1319.4395	1640.1436
"OTUB2|78990"	14.5094	205.7831	92.4062	28.0112	43.4783	54.0445	67.7146	37.8207	27.9021	34.0387	38.5566	48.8746	33.4172	76.5779
"OTUD1|220213"	904.8925	673.7349	678.8655	555.022	717.1881	658.4246	445.3849	1160.6603	593.8629	824.0958	566.8318	422.1865	970.1761	4854.9207
"OTUD3|23252"	1207.1132	314.6988	419.0302	513.4054	456.3186	366.6549	214.4297	144.1525	358.203	1108.0506	387.068	576.8489	227.8117	451.0918
"OTUD4|54726"	1570.5565	1405.7831	1045.7457	1170.068	807.3954	981.9852	1334.1395	1273.1923	1424.1397	1204.7923	931.8675	1867.2026	1333.8124	738.5582
"OTUD5|55593"	1355.0385	1254.4578	1641.3541	1484.5938	1594.0675	1580.7135	1332.1241	1333.0233	1338.9251	1517.8591	1508.714	1125.0804	1340.6396	1594.3763
"OTUD6A|139562"	0	0	0.9149	0	0	0	0	0	0	0	0	0	0	0
"OTUD6B|51633"	245.5985	204.8193	176.5782	183.6735	182.4462	192.1582	231.7614	247.0743	253.7585	205.5761	125.6844	280.0643	236.4355	308.7048
"OTUD7A|161725"	47.421	54.9398	34.7667	22.0088	37.7895	92.1936	56.4289	95.7917	59.1978	107.0429	18.0265	44.0514	73.3022	51.1517
"OTUD7B|56957"	810.0504	861.6867	728.2708	579.0316	569.2808	747.7923	616.6868	866.4652	725.8324	820.9607	565.8304	862.701	737.3338	1013.7601
"OTX1|5013"	0	0	0.9149	0.8003	0.8127	0	0	0.31	0.3771	0	0.5007	0	0.3593	0
"OTX2|5015"	0	0	0	0	0.4063	0	0	0.31	0	0	0	0	0	0
"OVCA2|124641"	293.8087	274.4916	411.6926	570.5322	527.7814	490.4557	471.0198	314.8353	361.0422	243.1575	800.1192	488.4469	364.5958	485.2079
"OVCH1|341350"	2.8311	1.4458	0	0.4002	2.0317	0.7065	3.6276	0.31	0.7541	2.6873	3.5051	0.9646	1.078	0
"OVCH2|341277"	0	0	0	0.4002	0	0.3532	0	0.31	0	4.9267	0	0	0	0.8974
"OVGP1|5016"	31.4961	32.2892	64.9588	54.0216	54.0431	36.3829	24.1838	22.0104	33.1809	38.0696	48.0705	30.8682	24.0747	252.767
"OVOL1|5017"	62.2843	32.2892	14.6386	62.425	26.0057	156.4818	41.9186	12.4002	4.9017	153.1743	57.5845	8.6817	18.6849	3.5896
"OVOL2|58495"	0	0	0	0	0	0	0	0	0	91.815	2.0029	0	0	0.2991
"OXA1L|5018"	2076.2629	2807.7108	2678.8655	2131.6527	1931.3287	2583.1862	2097.5413	2361.0013	1820.0482	2659.9485	2879.726	2162.0579	2063.6004	2267.4245
"OXCT1|5019"	467.8404	457.3494	393.4126	410.9644	739.5368	357.4709	388.9561	496.6287	471.3197	408.017	302.4438	587.4598	488.322	2691.5944
"OXCT2|64064"	2.4772	8.6747	5.4895	2.8011	7.7204	6.0049	9.2705	40.9207	7.1641	0.4479	4.0059	8.0386	2.8746	0.2991
"OXER1|165140"	98.7348	123.3735	193.0467	94.4378	160.0975	169.5514	130.5925	88.0415	61.083	47.4751	324.4762	64.6302	96.299	12.8627
"OXGR1|27199"	3.185	0.4819	4.5746	0.8003	2.438	2.4726	1.2092	3.1001	0.3771	1.7915	5.0073	2.8939	1.078	0
"OXNAD1|92106"	117.4909	144.0964	126.258	130.4522	91.8326	104.9099	108.021	104.7818	89.7393	200.2015	112.6653	97.1061	108.516	429.5543
"OXR1|55074"	1031.2306	2362.8916	1048.4904	619.4478	956.5217	1864.7121	1005.2398	1359.9938	1050.4774	2388.0864	485.7128	1038.2637	1164.2113	921.029
"OXSM|54995"	165.9736	177.8313	169.2589	142.8571	199.5124	202.402	163.2406	163.9929	139.5106	384.7274	201.2954	151.7685	142.2925	232.1268
"OXSR1|9943"	1617.9775	1178.7952	1258.9204	1080.032	843.9659	961.8509	999.5969	1411.7647	1243.907	1676.408	964.916	1336.0129	1327.3446	1620.1017
"OXTR|5021"	20.5255	47.2289	23.7877	11.6046	32.1008	89.3677	35.8726	8.6802	26.771	8.0618	46.0676	24.4373	5.0305	20.341
"OXT|5020"	0	0.4819	0	0	0	0.7065	3.2245	0	0	0	0	0	1.7966	0
"P2RX1|5023"	41.7588	43.3735	93.3211	38.4154	36.9768	32.4974	56.4289	29.4505	30.5415	36.2781	43.0632	24.4373	31.2612	33.5028
"P2RX2|22953"	0	0	0	0	0.4063	0	0	0	0	0	0	0	0	0
"P2RX3|5024"	0	2.4096	1.8298	0	0	1.7662	0.8061	0.62	0.3771	0	1.0015	0.9646	0.3593	0
"P2RX4|5025"	698.5756	921.9277	1413.5407	604.2417	864.2828	964.3236	545.3446	448.5779	498.0907	481.0212	1151.6901	616.3987	642.8315	562.6683
"P2RX5|5026"	24.3723	33.9807	26.0567	55.8303	72.1536	17.651	32.7973	26.5179	21.6166	17.512	29.4783	38.9132	19.4969	28.286
"P2RX6P|440799"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P2RX6|9127"	4.2467	1.4458	3.6597	4.8019	6.0951	3.1791	3.6276	7.1301	0.3771	4.0309	3.0044	2.2508	1.078	2.9913
"P2RX7|5027"	213.3947	698.3133	471.1802	184.8739	118.651	98.905	108.021	129.8923	113.1167	26.4248	160.2351	236.9775	149.479	202.8118
"P2RY10|27334"	40.6972	41.4458	66.7887	131.6527	25.5993	26.1392	35.4696	10.2302	9.8035	1.7915	32.047	6.7524	39.5257	15.2558
"P2RY11|5032"	50.9741	138.4675	181.3266	307.9352	304.3153	107.7323	42.2692	38.5027	36.5706	135.3891	159.7594	44.9228	55.3683	92.767
"P2RY12|64805"	16.2789	188.9157	47.5755	45.2181	93.8643	27.9053	14.9133	55.491	8.6723	6.2703	20.5301	42.1222	20.4815	53.5447
"P2RY13|53829"	164.2042	590.3614	327.5389	65.6263	315.7253	119.3924	142.2813	163.9929	96.1492	10.3012	125.6844	200	109.594	54.7413
"P2RY14|9934"	366.9822	152.2892	118.9387	76.8307	105.6481	152.243	147.1181	78.1214	88.2311	52.8496	205.3013	166.2379	205.8929	19.4436
"P2RY1|5028"	104.0432	295.9036	61.2992	64.0256	65.4206	76.6514	539.7017	273.4248	361.2194	120.0314	49.072	278.7781	178.2249	3.5896
"P2RY2|5029"	13.0939	11.5663	13.7237	30.4122	10.9711	12.0099	16.9287	8.6802	12.8199	4.4788	6.0088	7.717	10.4204	19.7427
"P2RY4|5030"	4.6005	2.8916	1.8298	0.8003	0.8127	1.4129	3.2245	0.93	1.8853	1.7915	2.5037	2.2508	0.3593	1.1965
"P2RY6|5031"	37.1583	89.1566	115.279	91.6367	225.1117	163.5465	53.6074	15.8103	50.1484	80.6181	34.05	18.328	38.0884	142.9853
"P2RY8|286530"	592.0552	598.0723	962.4886	2341.7367	806.5827	734.3695	1774.2846	1102.3793	718.6683	671.3694	721.0582	1796.7846	1739.8491	151.3611
"P4HA1|5033"	4063.6999	3685.7831	2583.7145	2356.9428	3032.9134	4675.733	1837.9686	4206.7736	3017.2003	4593.8865	2028.9775	3939.2283	4386.9925	927.6099
"P4HA2|8974"	2658.7632	1070.3614	2424.5197	4004.4018	2417.7164	2230.6605	1465.5381	1989.6148	2003.2974	2180.271	1863.735	1589.3891	2409.2706	273.108
"P4HA3|283208"	37.5122	174.4578	37.5114	29.2117	126.3714	64.6415	433.293	163.9929	193.8067	60.9114	143.2102	221.5434	113.5465	5.3844
"P4HB|5034"	15765.372	19622.1687	18537.054	20263.7055	34338.4803	20650.6535	16866.183	14418.9723	16427.9432	14641.1376	18740.5017	13339.2283	17913.0435	12671.2534
"P4HTM|54681"	428.5588	435.6627	585.5444	490.1961	787.4848	778.5235	597.3398	424.3974	417.0237	1782.1073	775.1375	412.8617	613.0075	582.411
"P704P|641455"	11.6783	6.2651	6.4044	34.8139	12.5965	23.3133	22.5715	7.1301	9.4264	12.5406	5.5081	16.7203	19.0442	14.9566
"PA2G4P4|647033"	42.8205	23.1325	31.107	45.6182	44.2909	43.4475	24.9899	30.6905	32.4268	55.5369	59.0867	37.9421	38.807	38.8872
"PA2G4|5036"	2329.2931	2170.6024	2258.9204	2362.545	2236.4892	1841.3988	2464.3289	2843.3698	2106.2336	2663.9794	3410.0042	2689.0675	2130.0755	2026.0245
"PAAF1|80227"	643.7229	689.6386	620.3111	606.2425	509.549	702.2254	429.2624	602.3405	485.2708	567.4617	606.8906	474.9196	449.8742	425.9647
"PABPC1L2A|340529"	0	0	0	0	0	0	0	0	0.7541	0	0	0	0	0
"PABPC1L2B|645974"	0	0	0	0	0	0	0.8061	0.31	0.7541	0	0.5007	0	0	0
"PABPC1L|80336"	303.2823	599.5181	481.2443	180.8723	889.8822	317.5556	73.3575	17.0503	47.8861	555.3689	345.507	44.0514	53.5393	526.7724
"PABPC1P2|728773"	3.8928	4.8193	0	1.2005	0	0.7065	0.8061	0	0	0	0	0.6431	0	0.2991
"PABPC1|26986"	12362.3817	18509.8795	17913.9982	11728.2913	12227.5498	14119.3924	11311.971	15380.2992	10451.2321	14920.1657	14891.8538	14722.8296	12127.9195	5371.8217
"PABPC3|5042"	108.2898	160.9639	150.9607	166.0664	143.844	201.3423	128.1741	147.8726	98.4116	210.0549	90.633	157.8778	134.3874	61.6213
"PABPC4L|132430"	282.4029	223.1325	255.2608	191.2765	188.9476	216.178	479.2422	434.3176	465.2868	337.2523	227.8343	294.5338	280.6324	138.7975
"PABPC4|8761"	1692.2941	3108.9157	2961.5737	2441.3766	2118.2446	2757.3296	1833.5349	2294.3502	1327.6134	3808.756	1906.2975	2140.836	1980.9558	783.7272
"PABPC5|140886"	24.0644	20.7229	21.043	12.405	8.5331	20.1342	39.0971	27.2805	21.1151	46.5793	28.5419	29.582	30.1833	115.4652
"PABPN1L|390748"	0	0	0	0	0.4063	0	0	0	0	0	0	0	0	0
"PABPN1|8106"	2356.7478	1805.4651	2640.9973	2173.1052	2261.7594	1944.7086	1825.6106	1461.6291	1508.0534	1901.207	3115.6823	1606.3215	1653.6579	2482.8208
"PACRGL|133015"	178.0058	146.0241	144.5563	168.8675	171.0687	154.7156	138.2507	142.6025	151.5764	189.9003	93.1367	209.9678	151.2756	195.0344
"PACRG|135138"	5.3083	13.9759	2.7447	3.6014	4.8761	32.4974	7.2551	7.1301	6.4099	77.035	10.0147	3.537	10.7797	35.8959
"PACS1|55690"	1811.2006	2495.4217	2638.6093	1682.2729	2214.5469	1988.6966	2209.1898	2272.3398	1834.7534	2091.5911	2145.148	1941.1576	2029.4646	2470.2363
"PACS2|23241"	1511.1032	1618.7952	1505.9469	1555.2061	1824.5916	1858.4281	1670.0161	1234.7516	1202.8079	1437.6889	1463.6479	1508.6817	1153.8699	1414.0323
"PACSIN1|29993"	11.6783	28.9157	27.4474	26.8107	15.8472	33.557	19.7501	7.1301	8.2952	0.8958	21.5316	5.1447	11.4984	5.6835
"PACSIN2|11252"	1658.3208	1435.1807	1275.3888	1467.387	1555.0589	1359.5903	1180.5723	1683.0195	1557.6174	1730.1534	707.0376	1326.3666	1509.8814	3318.5761
"PACSIN3|29763"	212.333	325.3012	142.7264	88.0352	179.6018	363.1226	253.9299	213.9037	62.2142	320.2329	328.482	125.4019	209.4862	321.2683
"PADI1|29943"	0.3539	63.6145	7.3193	72.0288	127.1841	88.6613	8.8674	18.2903	1.8853	988.4671	7.0103	4.1801	6.4678	0.8974
"PADI2|11240"	139.7859	550.3614	392.4977	227.6911	312.8809	155.7753	58.4442	52.7009	39.5909	7348.3373	46.0676	50.4823	66.8344	530.362
"PADI3|51702"	0.3539	1.9277	0.9149	4.4018	2.8444	0.3532	0	0.31	0	1.3436	0	0.3215	0	0.2991
"PADI4|23569"	13.0939	2.4096	6.4044	6.0024	2.0317	12.3631	4.0306	1.86	5.6558	1.3436	1.5022	4.8232	29.8239	0
"PADI6|353238"	0	1.4458	0	1.2005	0.4063	0	0	0.31	0	0	0	0.3215	0	0.2991
"PAEP|5047"	0	0.4819	0	0	0	0	0	0	0	0	0.5007	0	0	0
"PAF1|54623"	1260.5503	1122.4096	1310.1555	1401.7607	1623.3239	1107.0293	1342.6038	1326.5132	1271.055	1217.3329	2040.4944	1330.8682	1454.5455	1400.2393
"PAFAH1B1|5048"	4118.5526	3783.6145	3121.6834	3469.7879	2923.6083	3166.0191	3174.9295	3474.5408	4166.0893	2997.2008	1919.8173	4365.2733	2932.8063	4603.3503
"PAFAH1B2|5049"	587.8085	508.9157	339.4328	437.7751	331.5725	475.8036	661.4268	564.2099	737.8982	339.4917	196.7888	783.2797	542.5799	588.0945
"PAFAH1B3|5050"	104.7085	205.4651	230.9241	111.1365	207.5051	241.2681	199.9637	127.189	130.8685	185.0767	382.1208	144.7428	138.8681	258.953
"PAFAH2|5051"	637.7068	573.9759	609.3321	557.0228	596.5055	630.8725	382.5071	504.9988	443.0405	406.2255	568.8348	562.3794	500.1797	373.6165
"PAG1|55824"	1863.576	1279.5181	948.7649	1105.6423	848.0293	879.9011	852.0758	1284.6625	815.1946	493.1139	702.0302	1581.0289	1578.5124	685.9109
"PAGE1|8712"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAGE2B|389860"	0.7078	0.4819	0	0.4002	0	0.3532	0	0	0	0	0	0	0	0
"PAGE2|203569"	0	0	0	0.8003	0	0	0	0	0	0	0	0	0	0
"PAGE3|139793"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAGE4|9506"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAGE5|90737"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2991
"PAH|5053"	155.7109	283.8554	205.8554	193.2773	181.2271	375.1325	397.8235	295.1252	1199.4144	14.78	626.4193	177.1704	1272.0086	13223.7511
"PAICS|10606"	2046.8902	1600.9639	1659.6523	1486.1945	1709.874	1734.3695	1213.2205	1810.4317	1988.2151	1970.2161	1418.5818	1803.537	1800.9342	1518.3966
"PAIP1|10605"	879.0587	754.6988	650.5032	702.2809	714.3438	814.9064	845.6268	902.4258	1026.7229	813.3468	819.7029	896.7846	864.894	1477.1164
"PAIP2B|400961"	1101.6544	460.7229	492.2232	467.7871	222.9094	489.2264	223.2971	464.6981	461.8933	270.9663	246.1212	327.3312	437.6572	911.4568
"PAIP2|51247"	2830.0451	1732.5301	2538.8838	2636.2545	2209.6709	1827.6227	2042.3216	2937.9214	2189.1859	1460.0829	2164.6767	1858.1994	2841.1786	2300.9273
"PAK1IP1|55003"	186.4992	162.4096	174.7484	325.7303	239.3336	162.1335	216.445	178.8731	268.0867	155.8616	258.8799	440.836	152.3536	216.2728
"PAK1|5058"	1156.1532	1476.6265	1451.0522	1302.521	1427.4685	771.8121	805.7235	641.0912	928.6884	696.0027	1054.0468	838.5852	804.8868	1538.4385
"PAK2|5062"	3159.8691	2662.1687	2303.7511	2030.8123	1668.0211	2020.1342	3093.1076	2976.3621	3623.129	1737.7673	1932.8364	3396.463	2881.4229	2904.8759
"PAK3|5063"	2.4772	3.3735	3.6597	2.401	0.4063	19.0745	6.8521	15.5003	2.6394	4.4788	1.5022	0.9646	10.0611	16.1532
"PAK4|10298"	983.4557	844.3373	962.4886	1199.6799	1232.8322	1501.2363	977.4285	1070.4487	734.5047	1633.8596	1401.056	739.8714	1279.5544	1367.933
"PAK6|56924"	1.7907	12.6072	7.3193	6.0544	4.5104	7.0646	10.9391	4.6656	4.1665	368.868	4.5066	2.9068	2.5153	9.5722
"PAK7|57144"	0	0.4819	0	0.4002	0	0	0	0	0	0	0	0	0	0.8974
"PALB2|79728"	265.4163	355.1807	299.1766	169.6679	176.7574	282.2324	209.996	327.6757	227.7417	328.7426	198.291	179.4212	208.0489	314.6874
"PALLD|23022"	1887.2866	2758.0723	753.8884	1198.4674	1570.0935	4403.391	1960.9029	2186.1583	2587.3568	2162.3379	1787.1226	1629.9035	1685.9504	2918.63
"PALM2-AKAP2|445815"	2854.0671	3103.5133	2449.8262	2708.5474	1936.2576	2390.6499	5901.7614	4805.1802	5584.5656	1277.4695	2779.6792	3813.0386	4716.4678	1135.3814
"PALM2|114299"	71.6199	22.4193	28.6185	11.3325	23.8927	53.3981	30.3507	16.4272	38.4069	18.8333	38.0659	24.5209	48.9148	101.0859
"PALM3|342979"	261.1696	314.2169	561.7566	117.2469	384.8029	105.2632	176.5417	30.0705	114.2479	114.6568	342.0019	80.7074	82.6446	454.0832
"PALMD|54873"	655.4012	840.4819	463.8609	471.7887	586.347	541.858	1839.1778	1357.8238	1939.952	413.3916	858.7602	1079.4212	844.7718	47.5621
"PALM|5064"	316.7301	1019.759	300.0915	433.7735	854.5307	1315.4362	1016.9287	348.1361	532.4028	417.8703	1859.7292	245.6592	667.6249	349.6859
"PAMR1|25891"	194.2847	441.4458	235.1327	163.2653	281.9992	253.2674	723.0955	53.3209	412.8761	223.9391	294.4321	426.045	239.6694	12.2644
"PAM|5066"	6376.3603	6120.4819	5426.3495	5959.5838	6356.3592	9322.5009	5584.8448	7763.7759	7776.0213	10127.4213	4011.8874	5073.3119	9536.8308	3133.7122
"PAN2|9924"	1669.2913	1355.1807	1387.9231	706.2825	1505.4856	1270.5758	758.5651	648.8414	726.9635	1342.2909	1406.0634	799.3569	829.6802	980.5564
"PAN3|255967"	1261.9658	1149.3976	1248.8564	941.5766	690.7761	896.8562	943.1681	1003.4876	930.9507	1256.7462	789.1581	1009.3248	1162.0553	1036.7933
"PANK1|53354"	1414.8456	339.759	305.581	530.6122	540.4307	305.899	403.0633	325.1957	566.7148	319.785	322.974	443.0868	861.6601	1762.7879
"PANK2|80025"	276.7407	357.5904	366.8801	401.7607	338.8866	405.5104	442.1604	489.4986	368.3835	389.654	294.9328	444.6945	353.216	375.1122
"PANK3|79646"	776.0771	479.5181	311.9854	346.5386	237.7082	296.0085	436.1145	440.5177	410.2367	248.1245	131.6933	624.1158	486.8847	548.3099
"PANK4|55229"	312.4834	319.5181	419.9451	380.9524	514.425	466.6196	492.5433	357.4363	367.6294	519.9866	496.2282	347.2669	400.2875	250.9722
"PANX1|24145"	354.2422	427.9518	263.495	482.1929	422.1861	307.6651	382.9101	336.3559	386.1051	505.6545	230.338	551.1254	324.1107	268.9201
"PANX2|56666"	2.1233	5.7831	0.9149	13.2053	13.4092	15.8954	4.8368	1.55	33.935	130.3325	0.5007	1.6077	3.5932	1.1965
"PANX3|116337"	0	0	0	0.4002	0	0.7065	0	0	0	0.4479	0	0	0	0
"PAOX|196743"	186.853	160.4819	162.8545	192.0768	192.6046	221.4765	188.6336	146.0126	104.4445	72.1084	324.4762	134.7267	197.2691	151.0619
"PAPD4|167153"	1093.1611	1267.9518	1075.9378	843.5374	724.5022	949.1346	813.7848	953.8867	860.4413	1114.3209	483.2091	974.9196	849.0837	1257.8522
"PAPD5|64282"	632.7524	415.4217	451.0522	391.3565	332.3852	387.4956	331.318	596.4504	437.0076	494.9054	293.9313	581.672	521.0205	419.3838
"PAPD7|11044"	815.3588	689.6386	798.7191	764.7059	923.202	663.0166	605.401	429.6675	554.272	657.933	587.8627	953.3762	491.9152	473.8259
"PAPLN|89932"	1306.5558	2239.5181	2900.2745	596.2385	1777.3263	1957.598	645.3043	878.1679	2413.534	3033.2818	1944.8541	1010.2894	1509.5221	13644.6096
"PAPL|390928"	0.7078	0.4819	0	0	0.4063	1.0597	0.8061	0.62	2.2623	0	1.0015	0	1.4373	0
"PAPOLA|10914"	3884.2785	3827.4699	3002.7447	2793.5174	2160.5039	2759.0957	3169.6896	3808.4166	3858.4118	2317.3217	2950.3296	4423.4727	3347.4668	3149.8654
"PAPOLB|56903"	0.3539	0	0	0	0.8127	0.3532	0.4031	0.93	0.7541	0	0	0.6431	0	0
"PAPOLG|64895"	385.0305	332.0482	300.0915	302.9212	181.2271	270.5758	305.925	360.2263	325.0221	205.5761	286.9211	443.0868	309.7377	234.5199
"PAPPA2|60676"	1.4156	1.9277	1.8298	31.2125	0.4063	4.2388	3.2245	0.93	7.1641	2.2394	3.0044	1.2862	3.2339	8.3757
"PAPPA|5069"	79.6249	113.7349	15.5535	18.8075	13.0028	288.9438	40.7094	35.6506	54.296	288.4335	27.5404	45.3376	49.5868	368.2321
"PAPSS1|9061"	829.1604	928.6747	676.1208	651.4606	819.5855	986.9304	1232.1644	1289.9326	1134.1838	2084.8729	705.5354	942.7653	1011.4984	847.7415
"PAPSS2|9060"	1430.4167	723.8554	366.8801	391.3565	574.1568	702.2254	744.0548	809.1142	1516.5183	204.6803	338.9975	783.9228	1330.2192	92.4319
"PAQR3|152559"	189.6877	195.1855	129.0027	185.7103	203.6002	136.7008	170.1088	151.5958	266.586	139.7425	124.1822	254.6849	164.2221	302.429
"PAQR4|124222"	99.8708	104.6795	143.7603	131.5206	181.605	273.5147	328.1661	157.3898	251.0777	266.4562	196.6836	183.3023	87.9662	64.8968
"PAQR5|54852"	1851.5438	599.5181	997.2553	934.7739	779.358	748.4988	513.0996	1036.3481	893.2451	484.1563	741.5883	1035.6913	917.3554	3311.6961
"PAQR6|79957"	67.9466	34.6988	133.5773	68.0272	223.08	69.2335	24.5869	6.5101	12.0658	33.143	166.7447	28.6174	11.1391	45.169
"PAQR7|164091"	679.1117	762.4096	674.2909	582.2329	841.9342	679.6185	390.1653	566.9999	600.2728	827.6789	723.0611	520.5788	560.9055	497.7565
"PAQR8|85315"	162.7886	452.5301	396.1574	174.4698	277.1231	214.7651	445.788	316.2055	315.5957	316.6499	152.7241	263.9871	252.9644	201.9144
"PAQR9|344838"	3.8928	1.9277	2.7447	1.6006	1.6254	1.7662	0.8061	1.86	12.0658	0.4479	4.5066	1.9293	0.3593	0.8974
"PAR-SN|347746"	181.028	106.8145	94.5563	125.2061	104.2056	110.2084	111.3825	133.2651	164.3322	274.0701	180.1694	126.4695	166.5074	119.7218
"PAR1|145624"	2.1233	3.8554	2.7447	0.4002	1.6254	1.7662	1.6123	0.62	0.7541	6.7182	5.0073	0.6431	0.3593	0.5983
"PAR4|347745"	0	0.4819	0	0	0	0	0	0	0	0	0	0	0	0.2991
"PAR5|8123"	99.4426	52.5301	24.7027	26.0104	20.7233	13.0696	33.0512	52.0809	56.5584	71.2126	12.0176	57.2347	63.6004	36.4942
"PARD3B|117583"	145.4481	126.2651	53.9799	57.2229	80.8614	82.3031	62.4748	77.8114	120.2808	167.5064	16.5242	108.0386	102.7668	360.4547
"PARD3|56288"	1240.0248	1572.5301	906.6789	1028.8115	824.8679	1018.0148	519.5486	1067.3487	681.7168	1163.1396	454.1665	965.5949	1023.7154	1700.8675
"PARD6A|50855"	23.7105	26.988	33.8518	66.8267	83.7058	45.5669	43.1278	38.7507	61.4601	35.8303	90.1323	41.8006	44.5562	172.8986
