"TCGA-A3-3320-01A-02R-1325-07"	"TCGA-A3-3323-01A-02R-1325-07"	"TCGA-A3-3326-01A-01R-0864-07"	"TCGA-A3-A6NJ-01A-12R-A33J-07"	"TCGA-A3-A8OU-01A-11R-A37O-07"	"TCGA-AS-3778-01A-01R-A32Z-07"	"TCGA-B0-5690-01A-11R-1541-07"	"TCGA-B4-5834-01A-11R-1672-07"	"TCGA-B4-5844-01A-11R-1672-07"	"TCGA-B8-A54K-01A-11R-A33J-07"	"TCGA-BP-4165-01A-02R-1289-07"	"TCGA-CW-6093-01A-11R-1672-07"	"TCGA-EU-5904-01A-11R-1672-07"	"TCGA-T7-A92I-01A-11R-A37O-07"
"ABCA1|19"	4054.6864	4209.0602	2730.1006	2207.503	1660.2479	2214.977	1442.9303	1388.4926	2461.7708	774.2739	931.8625	2208.9614	1701.0277	3279.8744
"ABCA2|20"	1907.4582	2183.1325	1808.7832	1663.0652	3100.3657	1977.7464	1525.9976	1278.4624	1518.4036	4075.2435	1885.7674	1756.9132	1120.3737	826.5031
"ABCA3|21"	1493.4088	1075.6627	1440.9881	1182.473	2104.4291	1306.9587	1489.3188	1292.4126	1182.4469	1271.974	1201.7636	1618.0064	1101.6888	1876.4583
"ABCA4|24"	3.185	6.2651	0.9149	4.4018	5.2824	3.8856	22.9746	7.7501	12.0658	177.3598	8.5125	9.6463	4.6712	3.2905
"ABCA5|23461"	1162.5232	813.012	631.29	464.986	674.1162	558.4316	287.7751	379.4466	303.907	968.3126	425.6246	473.6334	616.2415	853.1259
"ABCA6|23460"	9.2011	13.494	7.3193	92.437	38.1959	18.0148	3.2245	8.0601	3.3935	9.4054	9.514	16.7203	18.3255	2046.0664
"ABCA7|10347"	161.3731	482.8916	293.6871	368.5474	273.0597	162.1335	119.3067	86.1815	53.5419	102.1162	274.4027	60.7717	115.3432	621.8965
"ABCA8|10351"	63.346	11.0843	49.4053	509.8039	192.6046	58.9898	140.6691	142.9125	52.7878	53.2975	96.1411	159.8071	112.4686	984.4451
"ABCA9|10350"	21.9411	18.7952	20.1281	77.2309	11.7838	34.97	4.4337	3.1001	0.7541	25.5291	14.0206	18.328	16.8883	172.0012
"ABCB10|23456"	645.8462	421.2048	509.6066	449.7799	483.1369	586.7185	493.3495	505.3088	611.5845	357.8547	317.9666	647.91	613.7262	531.5585
"ABCB11|8647"	0	0.4819	2.7447	0.4002	0	0	0	0	0	0.4479	0	0	0	0.2991
"ABCB1|5243"	639.4762	627.4699	586.4593	1125.6503	219.8293	1250.0883	625.9573	75.3313	382.7116	17.9151	430.1312	832.1543	996.0474	65.8092
"ABCB4|5244"	40.6972	198.5542	101.5554	51.2205	56.8874	263.8644	85.0464	288.9251	4.1476	4.9267	143.7109	127.6527	223.8591	12.5636
"ABCB5|340273"	2.1233	0	0.9149	0.4002	0.4063	0.7065	0	0.62	0	0	0	0	0	6095.1241
"ABCB6|10058"	884.8306	952.5783	1280.4575	1273.1453	2010.8411	1106.3723	767.6985	690.7913	722.8649	635.3107	1153.2424	910.836	629.5904	445.1152
"ABCB7|22"	496.5054	675.1807	520.5855	412.1649	329.5408	561.639	409.9154	656.5915	430.9748	535.2144	288.924	582.3151	503.4136	378.1035
"ABCB8|11194"	324.8695	396.6265	451.9671	527.8111	655.4246	574.7086	322.8537	211.7337	474.3362	254.3948	537.7892	276.2058	455.9828	1313.79
"ABCB9|23457"	42.5622	157.1133	62.7173	56.1905	156.9972	80.4733	74.4176	69.838	43.2822	160.7345	75.1853	48.5209	43.3705	119.4466
"ABCC10|89845"	273.5557	368.1928	342.1775	284.5138	399.4311	390.6747	376.4611	239.0142	242.8239	283.059	324.4762	265.2733	326.6259	389.4705
"ABCC11|85320"	0.7078	1.4458	2.7447	4.0016	8.9395	0.7065	2.8214	1.24	1.1312	0.4479	0	0.6431	1.4373	2.6922
"ABCC12|94160"	0	0	0	0	0.4063	0	0	0	0	0	0	0	0	0
"ABCC13|150000"	0.3539	0	0.9149	0	0	0	0	0.31	0	0	0	0	0	48.1603
"ABCC1|4363"	1259.1347	1440	931.3815	1085.6343	1585.9407	1135.2879	1079.8065	2590.7153	2747.9825	1421.1175	973.9292	958.8424	1288.1782	3294.0473
"ABCC2|1244"	504.2909	1380.7229	1103.3852	562.2249	275.0914	317.5556	410.3184	216.0738	349.5307	27.7684	288.924	398.0707	397.4129	9.2731
"ABCC3|8714"	2309.4754	11907.9518	5701.7383	3777.9112	10281.9992	10949.841	2466.3442	2009.7652	1584.7654	1136.2669	3785.5553	4063.0225	2061.8038	29.9133
"ABCC4|10257"	2595.771	1326.747	1739.2498	979.992	870.7842	1568.3504	527.6098	1126.2497	929.0654	245.8851	471.1915	1491.3183	1460.2946	4507.927
